date,sales_1,sales_2,sales_3,sales_4,sales_5,sales_6,sales_7,sales_8,sales_9,sales_10,sales_11,sales_12,sales_13,sales_14,sales_15,sales_16,sales_17,sales_18,sales_19,sales_20,sales_21,sales_22,sales_23,sales_24,sales_25,sales_26,sales_27,sales_28,sales_29,sales_30,sales_31,sales_32,sales_33,sales_34,sales_35,sales_36,sales_37,sales_38,sales_39,sales_40,sales_41,sales_42,sales_43,sales_44,sales_45,sales_46,sales_47,sales_48,sales_49,sales_50
1/1/2013,13,33,15,10,11,31,25,33,18,37,37,33,37,22,42,14,13,38,15,22,22,59,14,41,59,16,14,49,34,17,30,22,37,23,28,49,16,21,25,19,6,21,22,20,37,30,17,21,18,30
1/2/2013,11,43,30,11,6,36,23,37,23,34,43,35,31,35,33,11,18,51,18,16,28,29,17,25,26,26,10,39,30,25,19,22,30,6,26,48,13,28,23,15,15,24,27,15,40,30,15,26,10,32
1/3/2013,14,23,14,8,8,18,34,38,25,32,34,41,50,26,45,12,15,42,20,24,23,33,5,32,42,31,12,57,35,25,33,30,40,15,38,45,12,40,29,12,5,14,19,11,42,30,5,25,17,25
1/4/2013,13,18,10,19,9,19,36,54,22,45,52,45,45,32,39,15,19,50,16,24,15,45,16,36,35,25,18,46,46,27,24,24,48,13,38,41,23,45,31,13,9,22,29,22,49,37,13,26,22,32
1/5/2013,10,34,23,12,8,31,38,51,29,35,45,46,49,31,47,22,16,56,19,36,18,32,23,31,45,27,13,45,43,22,32,28,31,15,45,48,23,38,29,19,13,18,34,19,52,28,12,28,15,35
1/6/2013,12,38,23,16,13,31,32,60,35,54,46,37,46,34,44,15,24,48,25,35,24,50,10,33,43,21,12,55,51,29,48,29,41,12,45,47,16,61,29,14,12,26,31,16,48,32,13,38,19,40
1/7/2013,10,27,10,7,11,25,14,28,24,37,11,35,29,26,49,9,11,36,14,21,27,26,6,26,33,15,4,44,21,16,21,17,28,10,26,27,9,26,19,11,5,14,24,14,36,15,9,20,10,19
1/8/2013,9,28,13,9,10,29,31,34,22,37,33,39,27,22,42,11,24,31,24,26,15,38,17,51,31,27,12,42,35,23,28,16,27,15,34,29,16,48,16,9,8,14,23,14,36,23,9,24,13,34
1/9/2013,12,34,16,11,7,26,32,40,19,32,33,36,37,28,44,9,18,36,22,35,14,40,9,31,37,28,9,43,26,33,24,21,30,9,34,39,15,33,17,16,14,12,26,9,45,23,11,19,7,42
1/10/2013,9,27,15,16,8,39,32,43,30,36,40,34,45,24,47,13,14,30,22,21,25,41,19,41,44,20,15,54,34,17,26,21,31,10,26,44,16,40,20,13,15,17,25,14,40,38,15,21,19,33
